lambda,pbSimulation,pdSimulation,pd1,pd2
0.1,0.0,0.352622,0.178111,0.174511
0.2,0.0,0.370119,0.187775,0.182344
0.30000000000000004,0.0,0.386332,0.197086,0.189246
0.4,0.0,0.40245,0.206413,0.196037
0.5,0.0,0.417691,0.214684,0.203007
0.6,0.0,0.432205,0.223643,0.208562
0.7,0.0,0.44582,0.231554,0.214266
0.7999999999999999,0.0,0.459772,0.239858,0.219914
0.8999999999999999,0.0,0.473514,0.247764,0.22575
0.9999999999999999,0.0,0.488578,0.256772,0.231806
1.0999999999999999,0.0,0.499895,0.262901,0.236994
1.2,0.0,0.513784,0.270555,0.243229
1.3,2.0E-6,0.527139,0.279191,0.247948
1.4000000000000001,3.0E-6,0.539833,0.285871,0.253962
1.5000000000000002,3.0E-6,0.552806,0.293687,0.259119
1.6000000000000003,7.0E-6,0.563553,0.299671,0.263882
1.7000000000000004,7.0E-6,0.575862,0.306969,0.268893
1.8000000000000005,1.5E-5,0.588418,0.313147,0.275271
1.9000000000000006,4.5E-5,0.598381,0.318349,0.280032
2.0000000000000004,7.7E-5,0.609209,0.325242,0.283967
2.1000000000000005,9.8E-5,0.619241,0.330662,0.288579
2.2000000000000006,1.78E-4,0.629244,0.335715,0.293529
2.3000000000000007,2.39E-4,0.639748,0.341318,0.29843
2.400000000000001,3.95E-4,0.649493,0.347111,0.302382
2.500000000000001,5.7E-4,0.658189,0.351633,0.306556
2.600000000000001,7.2E-4,0.666984,0.356412,0.310572
2.700000000000001,0.001028,0.674772,0.360099,0.314673
2.800000000000001,0.001249,0.683409,0.364831,0.318578
2.9000000000000012,0.001788,0.689825,0.367942,0.321883
3.0000000000000013,0.002495,0.696263,0.37139,0.324873
3.1000000000000014,0.00293,0.704308,0.376211,0.328097
3.2000000000000015,0.003836,0.711056,0.378887,0.332169
3.3000000000000016,0.0049,0.71664,0.382504,0.334136
3.4000000000000017,0.006041,0.722689,0.385154,0.337535
3.5000000000000018,0.0075,0.727525,0.38713,0.340395
3.600000000000002,0.009002,0.731118,0.389146,0.341972
3.700000000000002,0.010676,0.735528,0.390999,0.344529
3.800000000000002,0.013126,0.740541,0.393632,0.346909
3.900000000000002,0.015216,0.74293,0.394732,0.348198
4.000000000000002,0.017836,0.743626,0.394877,0.348749
4.100000000000001,0.020971,0.746765,0.396764,0.350001
4.200000000000001,0.02356,0.749846,0.397692,0.352154
4.300000000000001,0.026679,0.750942,0.398775,0.352167
4.4,0.030354,0.751508,0.399071,0.352437
4.5,0.03412,0.752509,0.399283,0.353226
4.6,0.038763,0.752077,0.398767,0.35331
4.699999999999999,0.043122,0.751851,0.397885,0.353966
4.799999999999999,0.047675,0.751305,0.396837,0.354468
4.899999999999999,0.052597,0.750035,0.397778,0.352257
4.999999999999998,0.057214,0.748661,0.396043,0.352618
5.099999999999998,0.063266,0.746712,0.395098,0.351614
5.1999999999999975,0.068618,0.744739,0.393923,0.350816
5.299999999999997,0.074359,0.74264,0.392868,0.349772
5.399999999999997,0.079642,0.740256,0.390394,0.349862
5.4999999999999964,0.086863,0.736152,0.387944,0.348208
5.599999999999996,0.092956,0.733613,0.387574,0.346039
5.699999999999996,0.098931,0.728843,0.384086,0.344757
5.799999999999995,0.105037,0.726163,0.383694,0.342469
5.899999999999995,0.11205,0.721622,0.380414,0.341208
5.999999999999995,0.116689,0.719203,0.37913,0.340073
6.099999999999994,0.124983,0.714149,0.375332,0.338817
6.199999999999994,0.131638,0.710379,0.37394,0.336439
6.299999999999994,0.138461,0.706014,0.372217,0.333797
6.399999999999993,0.145618,0.701304,0.36954,0.331764
6.499999999999993,0.15255,0.696221,0.366953,0.329268
6.5999999999999925,0.159343,0.692071,0.363665,0.328406
6.699999999999992,0.165589,0.687567,0.361426,0.326141
6.799999999999992,0.173204,0.682667,0.358881,0.323786
6.8999999999999915,0.179001,0.678895,0.357049,0.321846
6.999999999999991,0.185962,0.674075,0.35456,0.319515
7.099999999999991,0.192388,0.668799,0.351652,0.317147
7.19999999999999,0.201552,0.662225,0.348418,0.313807
7.29999999999999,0.20768,0.657076,0.345735,0.311341
7.39999999999999,0.212417,0.654184,0.343715,0.310469
7.499999999999989,0.221412,0.647583,0.339702,0.307881
7.599999999999989,0.228901,0.641807,0.337402,0.304405
7.699999999999989,0.234741,0.637489,0.335014,0.302475
7.799999999999988,0.240287,0.633099,0.332305,0.300794
7.899999999999988,0.247499,0.627636,0.329491,0.298145
7.999999999999988,0.254229,0.622775,0.326489,0.296286
8.099999999999987,0.259119,0.619234,0.324418,0.294816
8.199999999999987,0.267798,0.612452,0.32137,0.291082
8.299999999999986,0.273695,0.607383,0.31827,0.289113
8.399999999999986,0.279225,0.60382,0.316321,0.287499
8.499999999999986,0.287782,0.596365,0.313423,0.282942
8.599999999999985,0.292881,0.592993,0.311301,0.281692
8.699999999999985,0.297179,0.589027,0.309233,0.279794
8.799999999999985,0.304183,0.584037,0.306519,0.277518
8.899999999999984,0.311101,0.577914,0.303354,0.27456
8.999999999999984,0.317163,0.573617,0.301393,0.272224
9.099999999999984,0.3211,0.570155,0.298701,0.271454
9.199999999999983,0.326422,0.56637,0.296457,0.269913
9.299999999999983,0.33224,0.561394,0.294742,0.266652
9.399999999999983,0.338529,0.556498,0.291888,0.26461
9.499999999999982,0.342322,0.55391,0.289946,0.263964
9.599999999999982,0.350759,0.546415,0.286883,0.259532
9.699999999999982,0.353715,0.544179,0.285945,0.258234
9.799999999999981,0.359909,0.538941,0.282359,0.256582
9.89999999999998,0.366513,0.534161,0.279535,0.254626
9.99999999999998,0.371882,0.529396,0.277443,0.251953
10.09999999999998,0.375552,0.526828,0.275455,0.251373
10.19999999999998,0.379316,0.523944,0.274665,0.249279
10.29999999999998,0.384491,0.519108,0.271384,0.247724
10.399999999999979,0.389031,0.515675,0.270494,0.245181
10.499999999999979,0.395369,0.510653,0.267472,0.243181
10.599999999999978,0.398608,0.507916,0.265524,0.242392
10.699999999999978,0.404274,0.503087,0.26354,0.239547
10.799999999999978,0.410095,0.498556,0.261111,0.237445
10.899999999999977,0.413957,0.495662,0.25953,0.236132
10.999999999999977,0.417755,0.492222,0.257746,0.234476
11.099999999999977,0.423862,0.487167,0.255547,0.23162
11.199999999999976,0.4276,0.484049,0.253225,0.230824
11.299999999999976,0.430844,0.481421,0.25253,0.228891
11.399999999999975,0.433829,0.479156,0.251076,0.22808
11.499999999999975,0.441183,0.47304,0.247513,0.225527
11.599999999999975,0.444511,0.470335,0.245914,0.224421
11.699999999999974,0.44808,0.467259,0.244749,0.22251
11.799999999999974,0.451967,0.464167,0.242731,0.221436
11.899999999999974,0.456525,0.460573,0.241786,0.218787
11.999999999999973,0.459986,0.457068,0.239299,0.217769
12.099999999999973,0.464315,0.453708,0.23763,0.216078
12.199999999999973,0.468089,0.450375,0.235998,0.214377
12.299999999999972,0.471685,0.448173,0.234726,0.213447
12.399999999999972,0.477398,0.443617,0.232276,0.211341
12.499999999999972,0.479653,0.440857,0.230752,0.210105
12.599999999999971,0.481471,0.439642,0.230479,0.209163
12.69999999999997,0.485719,0.436014,0.228088,0.207926
12.79999999999997,0.489944,0.432221,0.225874,0.206347
12.89999999999997,0.493068,0.430753,0.225305,0.205448
12.99999999999997,0.49587,0.427479,0.224351,0.203128
13.09999999999997,0.499588,0.42439,0.222092,0.202298
13.199999999999969,0.504618,0.420176,0.21975,0.200426
13.299999999999969,0.507121,0.418415,0.219076,0.199339
13.399999999999968,0.509804,0.416124,0.218026,0.198098
13.499999999999968,0.514083,0.412281,0.215341,0.19694
13.599999999999968,0.515573,0.411524,0.215523,0.196001
13.699999999999967,0.521147,0.406582,0.212598,0.193984
13.799999999999967,0.522976,0.405023,0.21251,0.192513
13.899999999999967,0.525502,0.403817,0.210887,0.19293
13.999999999999966,0.529461,0.399713,0.209193,0.19052
14.099999999999966,0.532288,0.397401,0.208234,0.189167
14.199999999999966,0.534519,0.395473,0.207025,0.188448
14.299999999999965,0.537902,0.392979,0.205557,0.187422
14.399999999999965,0.540655,0.390551,0.204251,0.1863
14.499999999999964,0.54523,0.386586,0.202878,0.183708
14.599999999999964,0.546799,0.384954,0.201666,0.183288
14.699999999999964,0.550444,0.381799,0.199744,0.182055
14.799999999999963,0.553671,0.379839,0.198629,0.18121
14.899999999999963,0.554787,0.378868,0.198345,0.180523
14.999999999999963,0.559114,0.374849,0.195742,0.179107
15.099999999999962,0.56007,0.373829,0.196421,0.177408
15.199999999999962,0.563112,0.371793,0.194851,0.176942
15.299999999999962,0.566153,0.369018,0.192979,0.176039
15.399999999999961,0.568267,0.367108,0.19201,0.175098
15.499999999999961,0.572286,0.364085,0.190631,0.173454
15.59999999999996,0.573239,0.363098,0.190211,0.172887
15.69999999999996,0.575683,0.361063,0.188416,0.172647
15.79999999999996,0.578731,0.358429,0.187759,0.17067
15.89999999999996,0.580548,0.356609,0.186642,0.169967
15.99999999999996,0.583505,0.354516,0.185269,0.169247
16.09999999999996,0.586665,0.351654,0.18396,0.167694
16.19999999999996,0.588565,0.350227,0.183213,0.167014
16.29999999999996,0.590398,0.348741,0.182393,0.166348
16.399999999999963,0.593265,0.346527,0.181411,0.165116
16.499999999999964,0.594304,0.345116,0.180312,0.164804
16.599999999999966,0.600034,0.340902,0.178253,0.162649
16.699999999999967,0.599946,0.340909,0.177608,0.163301
16.79999999999997,0.601532,0.339103,0.177571,0.161532
16.89999999999997,0.604719,0.33685,0.176286,0.160564
16.99999999999997,0.606175,0.335508,0.175817,0.159691
17.099999999999973,0.609182,0.33272,0.174199,0.158521
17.199999999999974,0.610746,0.331302,0.173444,0.157858
17.299999999999976,0.612334,0.330524,0.172743,0.157781
17.399999999999977,0.615786,0.327119,0.171146,0.155973
17.49999999999998,0.616313,0.326293,0.171027,0.155266
17.59999999999998,0.619002,0.324393,0.170004,0.154389
17.69999999999998,0.622454,0.321228,0.167893,0.153335
17.799999999999983,0.624318,0.320408,0.167019,0.153389
17.899999999999984,0.624404,0.319568,0.166697,0.152871
17.999999999999986,0.627765,0.317025,0.166363,0.150662
18.099999999999987,0.628051,0.316972,0.165564,0.151408
18.19999999999999,0.630705,0.31461,0.165083,0.149527
18.29999999999999,0.631862,0.313331,0.163936,0.149395
18.39999999999999,0.63523,0.311224,0.162632,0.148592
18.499999999999993,0.637345,0.309033,0.161201,0.147832
18.599999999999994,0.637616,0.308753,0.16157,0.147183
18.699999999999996,0.640905,0.306109,0.159735,0.146374
18.799999999999997,0.642564,0.304454,0.159032,0.145422
18.9,0.643769,0.303823,0.158408,0.145415
19.0,0.644273,0.303002,0.15871,0.144292
19.1,0.647539,0.300456,0.157017,0.143439
19.200000000000003,0.649045,0.299241,0.156053,0.143188
19.300000000000004,0.652204,0.296514,0.154755,0.141759
19.400000000000006,0.652249,0.296137,0.15481,0.141327
19.500000000000007,0.654132,0.294925,0.154762,0.140163
19.60000000000001,0.656362,0.293486,0.153232,0.140254
19.70000000000001,0.657132,0.292435,0.152826,0.139609
19.80000000000001,0.658414,0.291632,0.152607,0.139025
19.900000000000013,0.661114,0.289055,0.151193,0.137862
20.000000000000014,0.663121,0.287419,0.149858,0.137561
